p.id,p.title,p.year,p.venue,p.venuetype,p.keyword,p.doi,p.abstract,p.notes,f.cat0,f.cat1,f.cat2,f.uc0,f.uc1,f.uc2,f.user,d.source,d.vgi,d.official,d.reference,a.type,a.collec,a.prep1,a.prep2,a.prep3,a.analysis1,a.analysis2,a.analysis3,a.viz,a.tool
p03,A demographic analysis of online sentiment during hurricane Irene,2012,Workshop on Language in Social Media,conference,NA,http://dl.acm.org/citation.cfm?id=2390378,"We examine the response to the recent natural disaster Hurricane Irene on Twitter.com. We collect over 65,000 Twitter messages relating to Hurricane Irene from August 18th to August 31st, 2011, and group them by location and gender. We train a sentiment classifier to categorize messages based on level of concern, and then use this classifier to investigate demographic differences.We report three principal findings: (1) the number of Twitter messages related to Hurricane Irene in directly affected regions peaks around the time the hurricane hits that region; (2) the level of concern in the days leading up to the hurricane?s arrival is dependent on region; and (3) the level of concern is dependent on gender, with females being more likely to express concern than males. Qualitative linguistic variations further support these differences. We conclude that social media analysis provides a viable, real-time complement to traditional survey methods for understanding public perception towards an impending disaster.",,data-centric,data preparation,topic classification,natural disaster,hurricanes,2011 Irene hurricane,public agencies,Twitter,,yes,demographic data,exploratory,api,Inferring gender user (matching againsts Census most polular names) and location (state level manualy),,,,,,,no
p03,A demographic analysis of online sentiment during hurricane Irene,2012,Workshop on Language in Social Media,conference,NA,http://dl.acm.org/citation.cfm?id=2390378,"We examine the response to the recent natural disaster Hurricane Irene on Twitter.com. We collect over 65,000 Twitter messages relating to Hurricane Irene from August 18th to August 31st, 2011, and group them by location and gender. We train a sentiment classifier to categorize messages based on level of concern, and then use this classifier to investigate demographic differences.We report three principal findings: (1) the number of Twitter messages related to Hurricane Irene in directly affected regions peaks around the time the hurricane hits that region; (2) the level of concern in the days leading up to the hurricane?s arrival is dependent on region; and (3) the level of concern is dependent on gender, with females being more likely to express concern than males. Qualitative linguistic variations further support these differences. We conclude that social media analysis provides a viable, real-time complement to traditional survey methods for understanding public perception towards an impending disaster.",,human-centric,human perception,level of concerns,natural disaster,hurricanes,2011 Irene hurricane,public agencies,Twitter,,yes,demographic data,exploratory,api,,,,,Sentiment classifier (bag-of-word model),,,no
p06,Improved Response to Disasters and Outbreaks by Tracking Population Movements with Mobile Phone Network Data: A Post-Earthquake Geospatial Study in Haiti,2011,Plos Medicine,journal,NA,http://dx.doi.org/10.1371/journal.pmed.1001083,"Background Population movements following disasters can cause important increases in morbidity and mortality. Without knowledge of the locations of affected people, relief assistance is compromised. No rapid and accurate method exists to track population movements after disasters. We used position data of subscriber identity module (SIM) cards from the largest mobile phone company in Haiti (Digicel) to estimate the magnitude and trends of population movements following the Haiti 2010 earthquake and cholera outbreak. Methods and Findings Geographic positions of SIM cards were determined by the location of the mobile phone tower through which each SIM card connects when calling. We followed daily positions of SIM cards 42 days before the earthquake and 158 days after. To exclude inactivated SIM cards, we included only the 1.9 million SIM cards that made at least one call both pre-earthquake and during the last month of study. In Port-au-Prince there were 3.2 persons per included SIM card. We used this ratio to extrapolate from the number of moving SIM cards to the number of moving persons. Cholera outbreak analyses covered 8 days and tracked 138,560 SIM cards. An estimated 630,000 persons (197,484 Digicel SIM cards), present in Port-au-Prince on the day of the earthquake, had left 19 days post-earthquake. Estimated net outflow of people (outflow minus inflow) corresponded to 20% of the Port-au-Prince pre-earthquake population. Geographic distribution of population movements from Port-au-Prince corresponded well with results from a large retrospective, population-based UN survey. To demonstrate feasibility of rapid estimates and to identify areas at potentially increased risk of outbreaks, we produced reports on SIM card movements from a cholera outbreak area at its immediate onset and within 12 hours of receiving data. Conclusions Results suggest that estimates of population movements during disasters and outbreaks can be delivered rapidly and with potentially high validity in areas with high mobile phone use.",,human-centric,human mobility,population flows,natural disaster,earthquakes,2012 Haiti earthquake,emergency managers,GPS data from mobile phone,user position,no,,exploratory,traces and stores geographic position for each mobile phone caller,,,,,,,basic mapping,no
p07,Location Extraction From Disaster-Related Microblogs,2013,International conference on World Wide Web companion,conference,location extraction; named entity recognition; social media mining,http://www2013.org/companion/p1017.pdf,,Location-aware NER tools assessment,data-centric,data preparation,location selection,natural disaster,NA,NA,NA,Twitter,,no,,exploratory,api,,"Named Entity Recognition (location, POI)",,,,,,no
p11,Rapid Aerial Mapping with Multiple Heterogeneous Unmanned Vehicles,2013,International ISCRAM Conference,conference,"crisis management; aerial situation image; unmanned aerial vehicles; complete coverage path planning 
",http://www.iscramlive.org/ISCRAM2013/files/211.pdf,,Partitioning method for efficient area coverage,crisis-centric,crisis management (recovery and response),collective damage assessment,natural disaster,NA,NA,response agencies,Unmaned  aerial vehicles,,no,,exploratory,,,,,,,Partition of the area into pieces proportional to the capabilities of UAVs to generate flights pla,,no
p12,Social Web in Disaster Archives,2012,Workshop on Social Web for Disaster Management (WWW),conference,social web; disaster management; digital archives,http://www2012.org/proceedings/companion/p715.pdf,,,data-centric,data preservation,curation,natural disaster,earthquakes,2011 Japan Earthquake,researchers,Social web sites,,no,,methodological,,,,,,,,,no
p13,Text vs. Images: On the Viability of Social Media to Assess Earthquake Damage,2013,International conference on World Wide Web companion,conference,social media; damage assessment; attenuation pattern,http://www2013.org/companion/p1003.pdf,,,crisis-centric,crisis management (monitoring),variables monitoring,natural disaster,earthquakes,2011 Tohoku Japan earthquake; 2011 New Zealand Christchurch earthquake,response agencies,Twitter,text-only tweets and media-containing tweets,no,,exploratory,api,,,,,,tweet density per grid cell plus circular buffer for computing intensity attenuation ,,no
p14,Twitter in mass emergency: what NLP techniques can contribute,2010,Workshop on Computational Linguistics in a World of Social Media,conference,NA,http://dl.acm.org/citation.cfm?id=1860679,"We detail methods for entity span identification and entity class annotation of Twitter communications that take place during times of mass emergency. We present our motivation, method and preliminary results.",,data-centric,data preparation,topic selection,natural disaster,NA,NA,NA,Twitter,,no,,exploratory,,,Named Entity Recognition; information extraction,,,,,,no
p16,Dynamic adaptive disaster simulation: developing a predictive model of emergency behavior using cell phone and GIS data,2011,Symposium on Agent-Directed Simulations,conference,gis; agent-based; emergency response; cell phone,http://www3.nd.edu/~dddas/Papers/ResearchPaperFrancisChen.pdf,,,human-centric,human mobility,mobility patterns,natural disaster,NA,NA,emergency managers,Synthetic data ,user position,no,,predictive,,,,,,,Predicting movements by computing Manhattan distance,geovisual analytics,no
p17,Social Media Text Mining and Network Analysis for Decision Support in Natural Crisis Management,2013,International ISCRAM Conference,conference,decision support; social media; text mining; web mining; link analysis; VGI; location extraction,http://www.iscramlive.org/ISCRAM2013/files/228.pdf,,,data-centric,data preparation,topic classification,natural disaster,hurricanes,2012 Tsunami Philippine; 2012 Hurricane Sandy,emergency managers,Twitter,,no,,exploratory,API enriched with most popular keywords,,multiligual classifiers,,,,,,no
